Date_InitialTag,Transect,TransectNum,NewTagNum,Species,Size_Class,MaxDiameter,Height,immune_y/n,Date_DocumentedDisease,Date_DocumentedMortality,062019_TL-052022_TL,052022_TL-122022_TL,122022_TL-092023_TL,092023_TL-012024_TL,012024_TL-042024_TL,042024_TL-062025_TL
12/5/2022,CURLEW,4,99,OANN,NA,75,45,n,12/5/2022,Diseased,n/a,n/a,-87.5,-33.33333333,0,0
12/5/2022,CURLEW,4,100,OFAV,NA,70,85,n,12/5/2022,Diseased,n/a,n/a,n/a,0,0,-20
43637,CBC30N,1,2,PAST,4,33,8,y,Healthy,Healthy,-2.564102564,2.631578947,0,-46.15384615,n/a,n/a
43637,CBC30N,1,3,SSID,5,53,30,y,5/21/2022,Diseased,0,-2.631578947,-21.62162162,-6.896551724,-7.407407407,-16
43753,CBC30N,1,12,PSTR,NA,43,33,y,Healthy,Healthy,-2.702702703,0,0,-2.777777778,0,0
43640,CBC30N,1,13,PAST,4,45,18,y,Healthy,12/16/2023,-2.564102564,-2.631578947,0,n/a,n/a,0
43640,CBC30N,1,21,PAST,3,25,4,y,Healthy,8/1/2024,-50,0,-15.78947368,-87.5,0,n/a
43640,CBC30N,1,24,MCAV,4,19,30,y,Healthy,Healthy,0,0,0,n/a,n/a,0
44706,CBC30N,1,25,ORBI,NA,30,20,y,Healthy,Healthy,n/a,0,-2.564102564,-2.631578947,-2.702702703,-25
43641,SR30N,2,55,MCAV,3,22,23,y,Healthy,Healthy,-10,0,0,0,-2.777777778,-8.571428571
43641,SR30N,2,57,PAST,3,24,15,y,Healthy,Healthy,0,0,0,-7.894736842,0,-2.857142857
43638,SR30N,2,60,MCAV,4,28,20,y,Healthy,Healthy,0,-5,0,0,0,2.631578947
43641,SR30N,2,63,PAST,3,17,15,y,Healthy,Healthy,-2.564102564,-2.631578947,-5.405405405,-2.857142857,0,0
43637,SR30N,2,68,PAST,4,35,16,y,Healthy,Healthy,2.702702703,0,-2.631578947,-2.702702703,-2.777777778,-2.857142857
43641,SR30N,2,69,MCAV,3,27,30,y,Healthy,Healthy,-22.22222222,0,-7.142857143,-7.692307692,0,-41.66666667
43641,SR30N,2,72,SSID,4,32,20,y,2/22/2024,Healthy,-5,0,0,0,-10.52631579,5.882352941
43641,SR30N,2,73,SSID,4,35,21,y,Healthy,Healthy,0,0,0,-5,0,0
44705,SR30N,2,76,OFAV,NA,NA,NA,y,Healthy,Healthy,n/a,n/a,0,0,0,0
44705,SR30N,2,79,OFAV,NA,NA,NA,y,Healthy,Healthy,n/a,n/a,0,0,0,0
45464,SR30N,2,99,SSID,,,,y,Healthy,Healthy,n/a,n/a,n/a,-2.857142857,-8.823529412,0
43639,LAGOON,3,2,MCAV,4,33,19,y,2/24/2024,Diseased,0,0,2.631578947,-28.20512821,-71.42857143,0
43639,LAGOON,3,5,SSID,4,42,20,y,Healthy,Healthy,n/a,0,0,0,0,0
43639,LAGOON,3,6,PAST,4,24,20,y,Healthy,1/1/2024,-2.564102564,-60.52631579,20,-100,,
43639,LAGOON,3,10,PAST,4,30,10,y,Healthy,Healthy,0,0,-2.777777778,-85.71428571,n/a,n/a
43639,LAGOON,3,14,MCAV,4,27,34,y,Healthy,Healthy,0,0,0,-5.555555556,0,-2.941176471
43752,LAGOON,3,20,PSTR,4,33,20,y,Healthy,Healthy,-2.631578947,-2.702702703,-2.777777778,0,0,0
43639,LAGOON,3,21,MCAV,5,45,18,y,Healthy,Healthy,-3.125,0,0,-3.225806452,0,0
43639,LAGOON,3,33,SSID,3,30,15,y,12/3/2022,Diseased,n/a,0,0,-2.564102564,0,0
43639,LAGOON,3,34,PAST,3,43,24,y,Healthy,Healthy,n/a,-2.631578947,0,0,-2.702702703,n/a
44701,LAGOON,3,38,OFAV,NA,NA,NA,y,Healthy,Healthy,n/a,0,0,0,0,-5.263157895
44701,LAGOON,3,39,OFAV,NA,NA,NA,y,Healthy,Healthy,n/a,0,0,0,0,-15.78947368
44898,LAGOON,3,66,OFAV,NA,25,NA,y,,,n/a,n/a,0,0,0,n/a
44898,LAGOON,3,70,PSTR,NA,21,13,y,Healthy,Healthy,n/a,n/a,0,-2.702702703,-2.777777778,-54.28571429
44900,CURLEW,4,28,MCAV,NA,28,18,y,Healthy,Healthy,n/a,n/a,-2.5,-2.564102564,0,0
44900,CURLEW,4,30,MCAV,NA,12,10,y,Healthy,Healthy,n/a,n/a,0,0,-2.564102564,0
44900,CURLEW,4,76,MCAV,NA,30,25,y,Healthy,Healthy,n/a,n/a,0,0,0,0
44900,CURLEW,4,78,OFAV,NA,120,55,y,Healthy,Healthy,n/a,n/a,0,0,0,0
44900,CURLEW,4,79,PSTR,NA,25,17,y,Healthy,Healthy,n/a,n/a,0,0,-2.564102564,-2.631578947
44900,CURLEW,4,98,PSTR,NA,48,45,y,Healthy,Healthy,n/a,n/a,0,-2.702702703,-5.555555556,-14.70588235
